arquivo,palavra,ascii,par_id,escritor,semente,real,marca,onde,indice,medivel,faixa_massa,faixa_massa_rel,faixa_densidade,tem_gemeo,diff_massa_acc,diff_massa_asc,diff_delta,diff_delta_rel,diff_acima_do_topo,e2_lido,e2_cer,e1_escore,e1_presente,categoria
real_asc_0208.png,fãlta,falta,real0208,236,-1,True,til,acima,1,True,87,0.25439,0.07578,False,,,,,,,,0.25439,,
real_asc_0209.png,párque,parque,real0209,791,-1,True,agudo,acima,1,True,217,0.50939,0.20186,False,,,,,,,,0.50939,,
real_asc_0210.png,quê,que,real0210,336,-1,True,circunflexo,acima,2,True,34,0.07359,0.02285,False,,,,,,,,0.07359,,
real_asc_0211.png,sófre,sofre,real0211,244,-1,True,agudo,acima,1,True,172,0.29103,0.15035,False,,,,,,,,0.29103,,
real_asc_0212.png,antiguidàde,antiguidade,real0212,193,-1,True,grave,acima,8,True,226,0.69538,0.15219,False,,,,,,,,0.69538,,
real_asc_0213.png,quê,que,real0213,495,-1,True,circunflexo,acima,2,True,88,0.26426,0.0595,False,,,,,,,,0.26426,,
real_asc_0214.png,tãl,tal,real0214,446,-1,True,til,acima,1,True,130,0.30303,0.11111,False,,,,,,,,0.30303,,
real_asc_0215.png,mentàis,mentais,real0215,437,-1,True,grave,acima,4,True,367,1.04558,0.19605,False,,,,,,,,1.04558,,
real_asc_0216.png,devé,deve,real0216,76,-1,True,agudo,acima,3,True,56,0.16279,0.05385,False,,,,,,,,0.16279,,
real_asc_0217.png,intuitõ,intuito,real0217,201,-1,True,til,acima,6,True,365,1.07038,0.1207,False,,,,,,,,1.07038,,
real_asc_0218.png,qúe,que,real0218,891,-1,True,agudo,acima,1,True,267,0.43627,0.13012,False,,,,,,,,0.43627,,
real_asc_0219.png,pôr,por,real0219,244,-1,True,circunflexo,acima,1,True,70,0.12048,0.05291,False,,,,,,,,0.12048,,
real_asc_0220.png,umà,uma,real0220,386,-1,True,grave,acima,2,True,82,0.14089,0.02547,False,,,,,,,,0.14089,,
real_asc_0221.png,entãnto,entanto,real0221,114,-1,True,til,acima,3,True,22,0.05882,0.02222,False,,,,,,,,0.05882,,
real_asc_0222.png,Fiça,Fica,real0222,825,-1,True,cedilha,abaixo,2,True,0,0.0,0.0,False,,,,,,,,0.0,,
real_asc_0223.png,nàs,nas,real0223,335,-1,True,grave,acima,1,True,41,0.07168,0.03973,False,,,,,,,,0.07168,,
real_asc_0224.png,fím,fim,real0224,813,-1,True,agudo,acima,1,True,268,0.72826,0.16543,False,,,,,,,,0.72826,,
real_asc_0225.png,nobrê,nobre,real0225,347,-1,True,circunflexo,acima,4,True,9,0.03333,0.00495,False,,,,,,,,0.03333,,
real_asc_0226.png,abandonõ,abandono,real0226,451,-1,True,til,acima,7,True,12,0.02626,0.00699,False,,,,,,,,0.02626,,
real_asc_0227.png,dôs,dos,real0227,712,-1,True,circunflexo,acima,1,True,118,0.25053,0.10926,False,,,,,,,,0.25053,,
real_asc_0228.png,léu,leu,real0228,387,-1,True,agudo,acima,1,True,408,0.80792,0.20606,False,,,,,,,,0.80792,,
real_asc_0229.png,lucrõ,lucro,real0229,383,-1,True,til,acima,4,True,77,0.18033,0.04355,False,,,,,,,,0.18033,,
real_asc_0230.png,quànto,quanto,real0230,811,-1,True,grave,acima,2,True,17,0.07424,0.01246,False,,,,,,,,0.07424,,
real_asc_0231.png,pensàr,pensar,real0231,386,-1,True,grave,acima,4,True,28,0.05996,0.01369,False,,,,,,,,0.05996,,
real_asc_0232.png,sálas,salas,real0232,791,-1,True,agudo,acima,1,True,145,0.35627,0.11924,False,,,,,,,,0.35627,,
real_asc_0233.png,garàntir,garantir,real0233,247,-1,True,grave,acima,3,True,19,0.03605,0.01436,False,,,,,,,,0.03605,,
real_asc_0234.png,homêm,homem,real0234,446,-1,True,circunflexo,acima,3,True,19,0.0284,0.0113,False,,,,,,,,0.0284,,
real_asc_0235.png,atõs,atos,real0235,67,-1,True,til,acima,2,True,168,0.50149,0.16092,False,,,,,,,,0.50149,,
real_asc_0236.png,qué,que,real0236,233,-1,True,agudo,acima,2,True,167,2.31944,0.09795,False,,,,,,,,2.31944,,
real_asc_0237.png,qualidàde,qualidade,real0237,247,-1,True,grave,acima,6,True,125,0.29206,0.09705,False,,,,,,,,0.29206,,
real_asc_0238.png,emõcional,emocional,real0238,453,-1,True,til,acima,2,True,58,0.13744,0.03159,False,,,,,,,,0.13744,,
real_asc_0239.png,vêz,vez,real0239,817,-1,True,circunflexo,acima,1,True,188,0.32027,0.14484,False,,,,,,,,0.32027,,
