arquivo,palavra,ascii,par_id,escritor,semente,real,marca,onde,indice,medivel,faixa_massa,faixa_massa_rel,faixa_densidade,tem_gemeo,diff_massa_acc,diff_massa_asc,diff_delta,diff_delta_rel,diff_acima_do_topo,e2_lido,e2_cer,e1_escore,e1_presente,categoria
real_acc_0037.png,desorganização,desorganizacao,real0037,817,-1,True,cedilha,abaixo,11,True,100,0.32362,0.13228,False,,,,,,,,0.32362,,
real_acc_0037.png,desorganização,desorganizacao,real0037,817,-1,True,til,acima,12,True,36,0.13333,0.03475,False,,,,,,,,0.13333,,
real_acc_0038.png,resistência,resistencia,real0038,437,-1,True,circunflexo,acima,6,True,130,0.47101,0.08344,False,,,,,,,,0.47101,,
real_acc_0039.png,princípio,principio,real0039,386,-1,True,agudo,acima,5,True,84,0.23662,0.05765,False,,,,,,,,0.23662,,
real_acc_0040.png,disponibilização,disponibilizacao,real0040,812,-1,True,cedilha,abaixo,13,True,59,0.40136,0.06585,False,,,,,,,,0.40136,,
real_acc_0040.png,disponibilização,disponibilizacao,real0040,812,-1,True,til,acima,14,True,64,0.38554,0.07459,False,,,,,,,,0.38554,,
real_acc_0041.png,violência,violencia,real0041,348,-1,True,circunflexo,acima,4,True,99,0.30841,0.07734,False,,,,,,,,0.30841,,
real_acc_0042.png,são,sao,real0042,791,-1,True,til,acima,1,True,124,0.23091,0.06958,False,,,,,,,,0.23091,,
real_acc_0043.png,Saúde,Saude,real0043,347,-1,True,agudo,acima,2,True,0,0.0,0.0,False,,,,,,,,0.0,,
real_acc_0044.png,elaboração,elaboracao,real0044,247,-1,True,cedilha,abaixo,7,True,40,0.32258,0.05,False,,,,,,,,0.32258,,
real_acc_0044.png,elaboração,elaboracao,real0044,247,-1,True,til,acima,8,True,302,2.45528,0.151,False,,,,,,,,2.45528,,
real_acc_0045.png,contemporâneo,contemporaneo,real0045,114,-1,True,circunflexo,acima,9,True,181,0.46649,0.13309,False,,,,,,,,0.46649,,
real_acc_0046.png,problemática,problematica,real0046,193,-1,True,agudo,acima,7,True,304,0.85393,0.1974,False,,,,,,,,0.85393,,
real_acc_0047.png,solução,solucao,real0047,459,-1,True,cedilha,abaixo,4,True,139,0.30152,0.14083,False,,,,,,,,0.30152,,
real_acc_0047.png,solução,solucao,real0047,459,-1,True,til,acima,5,True,68,0.14719,0.06576,False,,,,,,,,0.14719,,
real_acc_0048.png,tâncias,tancias,real0048,385,-1,True,circunflexo,acima,1,True,469,0.71385,0.28879,False,,,,,,,,0.71385,,
real_acc_0049.png,necessária,necessaria,real0049,384,-1,True,agudo,acima,6,True,159,0.26544,0.09014,False,,,,,,,,0.26544,,
real_acc_0050.png,intensificação,intensificacao,real0050,225,-1,True,cedilha,abaixo,11,True,80,0.35714,0.08649,False,,,,,,,,0.35714,,
real_acc_0050.png,intensificação,intensificacao,real0050,225,-1,True,til,acima,12,True,199,0.869,0.19208,False,,,,,,,,0.869,,
real_acc_0051.png,inexistência,inexistencia,real0051,383,-1,True,circunflexo,acima,7,True,219,0.83908,0.15083,False,,,,,,,,0.83908,,
real_acc_0052.png,ficarão,ficarao,real0052,451,-1,True,til,acima,5,True,404,1.93301,0.24163,False,,,,,,,,1.93301,,
real_acc_0053.png,átricos,atricos,real0053,451,-1,True,agudo,acima,0,True,46,0.13731,0.03188,False,,,,,,,,0.13731,,
real_acc_0054.png,ação,acao,real0054,225,-1,True,cedilha,abaixo,1,True,61,0.15099,0.05295,False,,,,,,,,0.15099,,
real_acc_0054.png,ação,acao,real0054,225,-1,True,til,acima,2,True,106,0.25666,0.09601,False,,,,,,,,0.25666,,
real_acc_0055.png,tendência,tendencia,real0055,797,-1,True,circunflexo,acima,4,True,323,0.56966,0.22276,False,,,,,,,,0.56966,,
real_acc_0056.png,sétima,setima,real0056,887,-1,True,agudo,acima,1,True,119,0.14912,0.06887,False,,,,,,,,0.14912,,
